#nu_M/kHz Delta_nu/kHz Sigma_Delta_nu/kHz U_a^2/V^2 V_N
460 34.3 0.2 0.222 20
440 35.2 0.2 0.265 20
400 34.8 0.2 0.239 20
380 35.6 0.2 0.245 20
360 35.2 0.3 0.237 20
340 33.5 0.5 1.520 50
320 33.0 0.5 1.490 50
300 29.5 0.3 1.288 50
280 27.5 0.5 1.170 50
260 24.5 0.4 1.178 50
240 24.8 0.4 1.154 50
220 23.6 0.2 1.195 50
200 21.5 0.2 1.030 50
180 18.5 0   0.832 50
160 16.3 0   0.740 50
140 14.4 0   0.670 50
120 12.2 0   0.594 50
