#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
0.000000	1.634405
1024.000000	4.111015
2048.000000	8.001484
3072.000000	11.271875
4096.000000	14.434219
5120.000000	18.228203
6144.000000	21.203359
7168.000000	24.463594
8192.000000	28.108125
9216.000000	31.760391
10240.000000	34.996641
11264.000000	38.564844
12288.000000	41.845937
13312.000000	45.009141
14336.000000	48.610781
15360.000000	51.412109
16384.000000	54.750000
17408.000000	58.231641
18432.000000	61.539766
19456.000000	64.749297
20480.000000	68.163750
21504.000000	71.233672
22528.000000	74.509063
23552.000000	77.723672
24576.000000	80.672188
25600.000000	83.586484
26624.000000	86.629844
27648.000000	89.788906
28672.000000	92.693359
29696.000000	96.029609
30720.000000	98.739219
31744.000000	101.566328
32768.000000	104.843594
33792.000000	107.395313
34816.000000	110.212734
35840.000000	113.022813
36864.000000	115.862500
37888.000000	118.145391
38912.000000	121.259219
39936.000000	124.147578
40960.000000	126.877031
41984.000000	129.385000
43008.000000	132.245625
44032.000000	134.445000
45056.000000	136.655859
46080.000000	139.605313
47104.000000	141.769453
48128.000000	144.593281
49152.000000	147.216797
50176.000000	149.468125
51200.000000	151.901875
52224.000000	153.966641
53248.000000	156.459531
54272.000000	158.558203
55296.000000	160.567500
56320.000000	163.260078
57344.000000	164.972109
58368.000000	166.932578
59392.000000	169.153359
60416.000000	171.315469
61440.000000	173.152266
62464.000000	175.227188
63488.000000	177.298047
64512.000000	179.083437
65536.000000	181.647578
66560.000000	183.708438
67584.000000	185.480234
68608.000000	187.280937
69632.000000	188.899609
70656.000000	190.798359
71680.000000	192.485859
72704.000000	194.202109
73728.000000	195.725859
74752.000000	197.373984
75776.000000	199.181016
76800.000000	200.536797
77824.000000	201.927578
78848.000000	203.660313
79872.000000	205.131484
80896.000000	206.647969
81920.000000	208.124531
82944.000000	209.223047
83968.000000	210.967656
84992.000000	212.371719
86016.000000	213.835703
87040.000000	215.135000
88064.000000	216.488359
89088.000000	217.863594
90112.000000	219.011719
91136.000000	220.270625
92160.000000	221.437266
93184.000000	222.551719
94208.000000	223.581875
95232.000000	224.610547
96256.000000	225.493359
97280.000000	226.812344
98304.000000	228.007031
99328.000000	228.960625
100352.000000	230.094453
101376.000000	230.929453
102400.000000	231.891406
103424.000000	232.632344
104448.000000	233.592109
105472.000000	234.557969
106496.000000	235.332109
107520.000000	236.360859
108544.000000	237.025469
109568.000000	237.858359
110592.000000	238.863672
111616.000000	239.702891
112640.000000	240.551016
113664.000000	241.309063
114688.000000	242.083984
