#1D 255 -512.000000 260608.000000	[nbin xmin xmax]
#"X"	"Function_0"
115712.000000	242.967344
116736.000000	243.996172
117760.000000	244.603906
118784.000000	245.362500
119808.000000	245.918438
120832.000000	246.406484
121856.000000	247.002266
122880.000000	247.759609
123904.000000	248.208047
124928.000000	248.607891
125952.000000	249.231172
126976.000000	249.801094
128000.000000	250.405859
129024.000000	250.793906
130048.000000	251.231328
131072.000000	251.756641
132096.000000	251.976953
133120.000000	252.351484
134144.000000	252.691484
135168.000000	253.244922
136192.000000	253.660469
137216.000000	254.048047
138240.000000	254.592734
139264.000000	255.008281
140288.000000	255.416719
141312.000000	255.758984
142336.000000	256.008828
143360.000000	256.358125
144384.000000	256.714922
145408.000000	257.034844
146432.000000	257.345391
147456.000000	257.676719
148480.000000	257.929297
149504.000000	258.244688
150528.000000	258.504844
151552.000000	258.742500
152576.000000	259.045234
153600.000000	259.182109
154624.000000	259.519219
155648.000000	259.747266
156672.000000	260.080938
157696.000000	260.440469
158720.000000	260.795313
159744.000000	261.171250
160768.000000	261.236719
161792.000000	261.453984
162816.000000	261.577656
163840.000000	261.997422
164864.000000	262.250000
165888.000000	262.391641
166912.000000	262.469453
167936.000000	262.541562
168960.000000	262.940078
169984.000000	263.017734
171008.000000	263.151250
172032.000000	263.361016
173056.000000	263.467813
174080.000000	263.716016
175104.000000	263.724063
176128.000000	263.841250
177152.000000	263.928984
178176.000000	264.227422
179200.000000	264.180000
180224.000000	264.231719
181248.000000	264.313984
182272.000000	264.566641
183296.000000	264.602031
184320.000000	264.670234
185344.000000	264.772891
186368.000000	264.872969
187392.000000	265.107422
188416.000000	265.271953
189440.000000	265.438750
190464.000000	265.541641
191488.000000	265.745547
192512.000000	266.007344
193536.000000	266.141797
194560.000000	266.249922
195584.000000	266.314219
196608.000000	266.438984
197632.000000	266.655234
198656.000000	266.741250
199680.000000	266.908125
200704.000000	267.000547
201728.000000	266.946328
202752.000000	266.966797
203776.000000	267.136563
204800.000000	267.144219
205824.000000	267.237656
206848.000000	267.355156
207872.000000	267.310859
208896.000000	267.389375
209920.000000	267.409297
210944.000000	267.460078
211968.000000	267.492813
212992.000000	267.634141
214016.000000	267.522344
215040.000000	267.646406
216064.000000	267.648047
217088.000000	267.663047
218112.000000	267.599297
219136.000000	267.796484
220160.000000	267.676719
221184.000000	267.911172
222208.000000	267.841953
223232.000000	267.830547
224256.000000	267.883906
225280.000000	267.902813
226304.000000	267.892187
227328.000000	267.957813
228352.000000	267.985625
229376.000000	268.156953
230400.000000	268.119297
231424.000000	268.055000
232448.000000	268.088750
233472.000000	268.157656
234496.000000	268.192031
235520.000000	268.259922
236544.000000	268.222109
237568.000000	268.209531
238592.000000	268.199219
239616.000000	268.307344
240640.000000	268.310469
241664.000000	268.386953
242688.000000	268.352109
243712.000000	268.306562
244736.000000	268.402031
245760.000000	268.505938
246784.000000	268.370078
247808.000000	268.509062
248832.000000	268.481797
249856.000000	268.547578
250880.000000	268.411797
251904.000000	268.552187
252928.000000	268.483125
253952.000000	268.542031
254976.000000	268.551172
256000.000000	268.641250
257024.000000	268.513672
258048.000000	268.645937
259072.000000	268.482422
260096.000000	268.633516
