1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	2,252928
1024,000000	4,055842
2048,000000	7,890255
3072,000000	10,820313
4096,000000	14,320000
5120,000000	17,973750
6144,000000	20,865391
7168,000000	24,561406
8192,000000	27,574531
9216,000000	31,164844
10240,000000	34,486797
11264,000000	38,180703
12288,000000	41,120000
13312,000000	44,159922
14336,000000	47,821641
15360,000000	50,988203
16384,000000	54,036563
17408,000000	57,067188
18432,000000	60,563594
19456,000000	64,246172
20480,000000	66,783047
21504,000000	70,535859
22528,000000	73,837891
23552,000000	76,533125
24576,000000	79,540938
25600,000000	82,432422
26624,000000	85,759375
27648,000000	88,525000
28672,000000	91,655781
29696,000000	94,263125
30720,000000	97,402500
31744,000000	100,019219
32768,000000	103,508906
33792,000000	106,023906
34816,000000	109,012500
35840,000000	111,948516
36864,000000	114,593281
37888,000000	117,196719
38912,000000	120,337031
39936,000000	122,772500
40960,000000	125,462031
41984,000000	127,717109
43008,000000	130,456875
44032,000000	133,265938
45056,000000	135,524844
46080,000000	137,746563
47104,000000	140,764844
48128,000000	143,125781
49152,000000	145,571719
50176,000000	147,995469
51200,000000	150,386172
52224,000000	152,524219
53248,000000	154,523516
54272,000000	156,814844
55296,000000	159,243594
56320,000000	161,424297
57344,000000	163,592266
58368,000000	165,495625
59392,000000	167,602344
60416,000000	169,356719
61440,000000	171,643281
62464,000000	173,722422
63488,000000	175,803750
64512,000000	178,033906
65536,000000	180,062031
66560,000000	182,129687
67584,000000	183,886641
68608,000000	185,758750
69632,000000	187,326953
70656,000000	189,035078
71680,000000	190,789062
72704,000000	192,706562
73728,000000	194,306016
74752,000000	195,860781
75776,000000	197,449062
76800,000000	199,029141
77824,000000	200,568125
78848,000000	202,000703
79872,000000	203,728359
80896,000000	205,014453
81920,000000	206,596719
82944,000000	208,141953
83968,000000	209,892109
84992,000000	211,241641
86016,000000	212,634453
87040,000000	213,992344
88064,000000	215,315781
89088,000000	216,473594
90112,000000	217,752500
91136,000000	218,938359
92160,000000	220,133984
93184,000000	221,254922
94208,000000	222,391172
95232,000000	223,508047
96256,000000	224,728359
97280,000000	225,890156
98304,000000	227,029219
99328,000000	228,083594
100352,000000	229,009141
101376,000000	229,945000
102400,000000	230,985469
103424,000000	231,957188
104448,000000	232,935391
105472,000000	233,682109
106496,000000	234,691016
107520,000000	235,423359
108544,000000	236,345078
109568,000000	237,058672
110592,000000	238,020469
111616,000000	238,984531
112640,000000	239,842734
113664,000000	241,089141
114688,000000	241,661016
115712,000000	242,522266
116736,000000	243,377031
117760,000000	243,798438
118784,000000	244,588125
119808,000000	245,183594
120832,000000	245,781406
121856,000000	246,503828
122880,000000	247,218906
123904,000000	247,558281
124928,000000	248,147344
125952,000000	248,691328
126976,000000	249,304062
128000,000000	249,759141
129024,000000	250,404375
130048,000000	250,880625
131072,000000	251,243672
132096,000000	251,808672
133120,000000	252,295781
134144,000000	252,728672
135168,000000	253,328516
136192,000000	253,893516
137216,000000	254,228984
138240,000000	254,589687
139264,000000	255,007656
140288,000000	255,321953
141312,000000	255,711328
142336,000000	256,125313
143360,000000	256,403828
144384,000000	256,855547
145408,000000	257,224219
146432,000000	257,559453
147456,000000	257,750625
148480,000000	258,002578
149504,000000	258,414844
150528,000000	258,632656
151552,000000	258,911641
152576,000000	259,346484
153600,000000	259,582656
154624,000000	259,769531
155648,000000	260,145391
156672,000000	260,327266
157696,000000	260,521875
158720,000000	260,835000
159744,000000	261,110078
160768,000000	261,264609
161792,000000	261,577344
162816,000000	261,763984
163840,000000	262,013047
164864,000000	262,203125
165888,000000	262,505156
166912,000000	262,707266
167936,000000	262,756797
168960,000000	262,963750
169984,000000	263,028281
171008,000000	263,230312
172032,000000	263,363984
173056,000000	263,639062
174080,000000	263,707734
175104,000000	264,069297
176128,000000	264,095312
177152,000000	264,466484
178176,000000	264,789531
179200,000000	265,068672
180224,000000	265,040937
181248,000000	265,442813
182272,000000	265,648984
183296,000000	265,696797
184320,000000	266,163047
185344,000000	265,975234
186368,000000	266,301562
187392,000000	266,418906
188416,000000	266,550703
189440,000000	266,656797
190464,000000	266,642969
191488,000000	266,864141
192512,000000	266,859375
193536,000000	266,934531
194560,000000	267,042031
195584,000000	267,178906
196608,000000	267,216562
197632,000000	267,297812
198656,000000	267,414687
199680,000000	267,421875
200704,000000	267,595547
201728,000000	267,576016
202752,000000	267,561016
203776,000000	267,583906
204800,000000	267,634531
205824,000000	267,751797
206848,000000	267,887500
207872,000000	268,040078
208896,000000	267,944922
209920,000000	267,962656
210944,000000	268,040313
211968,000000	268,087734
212992,000000	268,158516
214016,000000	268,224531
215040,000000	268,262734
216064,000000	268,191250
217088,000000	268,298281
218112,000000	268,316953
219136,000000	268,405156
220160,000000	268,468203
221184,000000	268,474375
222208,000000	268,563672
223232,000000	268,467031
224256,000000	268,623984
225280,000000	268,644375
226304,000000	268,722031
227328,000000	268,645625
228352,000000	268,756016
229376,000000	268,779766
230400,000000	268,824766
231424,000000	268,755078
232448,000000	268,694453
233472,000000	268,777187
234496,000000	268,899766
235520,000000	268,824375
236544,000000	268,924453
237568,000000	268,951406
238592,000000	268,881797
239616,000000	269,009766
240640,000000	268,975781
241664,000000	269,043438
242688,000000	268,982891
243712,000000	269,118281
244736,000000	269,092813
245760,000000	269,131406
246784,000000	269,084609
247808,000000	269,108828
248832,000000	269,230781
249856,000000	269,074219
250880,000000	269,279375
251904,000000	269,211016
252928,000000	269,349219
253952,000000	269,257188
254976,000000	269,334453
256000,000000	269,270000
257024,000000	269,234922
258048,000000	269,341250
259072,000000	269,326250
260096,000000	269,295859
