1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,300887
1024,000000	4,660100
2048,000000	7,840234
3072,000000	11,150703
4096,000000	14,354688
5120,000000	17,555000
6144,000000	21,051250
7168,000000	24,747422
8192,000000	27,695625
9216,000000	31,267031
10240,000000	34,985234
11264,000000	38,342578
12288,000000	41,673750
13312,000000	44,521875
14336,000000	48,191406
15360,000000	51,340391
16384,000000	54,724609
17408,000000	57,624453
18432,000000	61,459531
19456,000000	64,682812
20480,000000	67,636641
21504,000000	70,886016
22528,000000	74,253125
23552,000000	77,149844
24576,000000	80,368906
25600,000000	83,316094
26624,000000	86,414453
27648,000000	89,328047
28672,000000	92,104062
29696,000000	95,313125
30720,000000	98,495391
31744,000000	101,073828
32768,000000	104,371641
33792,000000	107,583828
34816,000000	110,275234
35840,000000	113,143906
36864,000000	115,657734
37888,000000	118,633047
38912,000000	121,500391
39936,000000	124,349063
40960,000000	126,631641
41984,000000	129,397109
43008,000000	131,945000
44032,000000	134,199297
45056,000000	136,999531
46080,000000	139,572500
47104,000000	142,397422
48128,000000	144,975625
49152,000000	147,405547
50176,000000	149,900312
51200,000000	151,930000
52224,000000	154,383594
53248,000000	156,517422
54272,000000	158,925859
55296,000000	161,021094
56320,000000	163,180391
57344,000000	165,308672
58368,000000	167,425313
59392,000000	169,347969
60416,000000	171,456562
61440,000000	173,445859
62464,000000	175,465469
63488,000000	177,933906
64512,000000	179,619297
65536,000000	182,193594
66560,000000	183,814375
67584,000000	185,761875
68608,000000	187,680391
69632,000000	189,484297
70656,000000	191,057344
71680,000000	192,739922
72704,000000	194,408906
73728,000000	195,903672
74752,000000	197,872109
75776,000000	199,395234
76800,000000	200,795234
77824,000000	202,481875
78848,000000	203,862266
79872,000000	205,750703
80896,000000	207,112812
81920,000000	208,521797
82944,000000	209,896172
83968,000000	211,383516
84992,000000	212,999844
86016,000000	214,140391
87040,000000	215,483438
88064,000000	216,860234
89088,000000	218,002422
90112,000000	219,445312
91136,000000	220,435391
92160,000000	221,929375
93184,000000	222,768125
94208,000000	224,031406
95232,000000	225,221094
96256,000000	226,141641
97280,000000	227,169141
98304,000000	228,367500
99328,000000	229,450781
100352,000000	230,302031
101376,000000	231,467891
102400,000000	232,258984
103424,000000	233,181875
104448,000000	234,152891
105472,000000	234,797422
106496,000000	235,919688
107520,000000	237,004375
108544,000000	238,060469
109568,000000	238,962656
110592,000000	239,806875
111616,000000	240,466094
112640,000000	241,247187
113664,000000	241,910313
114688,000000	242,714375
115712,000000	243,528125
116736,000000	244,195391
117760,000000	244,878359
118784,000000	245,410156
119808,000000	246,112656
120832,000000	246,694844
121856,000000	247,263125
122880,000000	247,953906
123904,000000	248,389531
124928,000000	248,971016
125952,000000	249,630937
126976,000000	250,091328
128000,000000	250,605781
129024,000000	251,070859
130048,000000	251,443672
131072,000000	251,992734
132096,000000	252,392344
133120,000000	252,906797
134144,000000	253,333750
135168,000000	253,655391
136192,000000	253,983047
137216,000000	254,464375
138240,000000	254,692109
139264,000000	255,000625
140288,000000	255,683828
141312,000000	255,993750
142336,000000	256,230234
143360,000000	256,674688
144384,000000	256,975859
145408,000000	257,298047
