#t U_1, U_2
-50.00000e-3,+147.93468e-3,-16.23116e-3
-49.95000e-3,+141.00001e-3,-12.71358e-3
-49.90000e-3,+143.11056e-3,-16.23116e-3
-49.85000e-3,+143.41207e-3,-8.69348e-3
-49.80000e-3,+143.11056e-3,-653.28e-6
-49.75000e-3,+147.93468e-3,-12.21106e-3
-49.70000e-3,+143.11056e-3,-8.19096e-3
-49.65000e-3,+143.11056e-3,-8.19096e-3
-49.60000e-3,+147.93468e-3,-8.19096e-3
-49.55000e-3,+140.69850e-3,-8.69348e-3
-49.50000e-3,+147.93468e-3,-653.28e-6
-49.45000e-3,+145.82413e-3,-8.19096e-3
-49.40000e-3,+143.11056e-3,-8.19096e-3
-49.35000e-3,+143.11056e-3,-12.71358e-3
-49.30000e-3,+143.11056e-3,-8.19096e-3
-49.25000e-3,+140.69850e-3,-4.67338e-3
-49.20000e-3,+143.11056e-3,-653.28e-6
-49.15000e-3,+145.52262e-3,-4.17086e-3
-49.10000e-3,+143.11056e-3,-8.19096e-3
-49.05000e-3,+143.11056e-3,-12.21106e-3
-49.00000e-3,+143.11056e-3,-16.23116e-3
-48.95000e-3,+143.11056e-3,-8.19096e-3
-48.90000e-3,+138.58795e-3,-8.19096e-3
-48.85000e-3,+143.11056e-3,-8.19096e-3
-48.80000e-3,+143.11056e-3,-8.19096e-3
-48.75000e-3,+141.00001e-3,-8.19096e-3
-48.70000e-3,+143.11056e-3,-8.19096e-3
-48.65000e-3,+140.69850e-3,-8.19096e-3
-48.60000e-3,+143.11056e-3,-8.19096e-3
-48.55000e-3,+145.82413e-3,-4.67338e-3
-48.50000e-3,+138.28644e-3,-8.19096e-3
-48.45000e-3,+135.87438e-3,-8.19096e-3
-48.40000e-3,+138.28644e-3,-653.28e-6
-48.35000e-3,+138.28644e-3,+3.86934e-3
-48.30000e-3,+133.46232e-3,-150.76e-6
-48.25000e-3,+131.35176e-3,+3.86934e-3
-48.20000e-3,+128.63820e-3,+7.88944e-3
-48.15000e-3,-158.39698e-3,+285.27637e-3
-48.10000e-3,-155.98492e-3,+345.07536e-3
-48.05000e-3,-155.98492e-3,+369.69848e-3
-48.00000e-3,-155.98492e-3,+385.27637e-3
-47.95000e-3,-155.98492e-3,+373.71858e-3
-47.90000e-3,-155.98492e-3,+353.61808e-3
-47.85000e-3,-155.98492e-3,+305.37687e-3
-47.80000e-3,-155.98492e-3,+257.13567e-3
-47.75000e-3,-155.98492e-3,+192.31155e-3
-47.70000e-3,-155.98492e-3,+111.90954e-3
-47.65000e-3,-153.57286e-3,+27.98994e-3
-47.60000e-3,-155.98492e-3,-48.39197e-3
-47.55000e-3,-155.98492e-3,-137.33669e-3
-47.50000e-3,-155.68341e-3,-201.15579e-3
-47.45000e-3,-158.39698e-3,-261.95980e-3
-47.40000e-3,-151.16080e-3,-298.14071e-3
-47.35000e-3,-153.27135e-3,-337.83920e-3
-47.30000e-3,-151.16080e-3,-345.87940e-3
-47.25000e-3,-155.98492e-3,-349.89950e-3
-47.20000e-3,-155.98492e-3,-321.75880e-3
-47.15000e-3,-153.57286e-3,-294.12061e-3
-47.10000e-3,-151.16080e-3,-249.39699e-3
-47.05000e-3,-153.57286e-3,-181.05528e-3
-47.00000e-3,-155.68341e-3,-120.75378e-3
-46.95000e-3,-153.27135e-3,-56.43217e-3
-46.90000e-3,-151.16080e-3,-150.76e-6
-46.85000e-3,-155.98492e-3,+88.29145e-3
-46.80000e-3,-155.68341e-3,+144.57285e-3
-46.75000e-3,-155.98492e-3,+204.87436e-3
-46.70000e-3,-151.16080e-3,+241.05527e-3
-46.65000e-3,-153.27135e-3,+268.69346e-3
-46.60000e-3,-151.16080e-3,+281.25627e-3
-46.55000e-3,-155.98492e-3,+276.73366e-3
-46.50000e-3,-155.98492e-3,+265.17587e-3
-46.45000e-3,-153.57286e-3,+237.03516e-3
-46.40000e-3,-155.68341e-3,+200.35175e-3
-46.35000e-3,-153.27135e-3,+156.13064e-3
-46.30000e-3,-151.16080e-3,+95.82914e-3
